Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,72.4,0,0,109,119.0863,2.509033,0,0,0,0,0,0,87,87,0,0
0.010,B,0.010,0.010,0,1.415631,0,480.8804,72.4,0,0,108.9628,119.0863,2.518297,181.577446650939,181.232677694118,11.1841704249581,14.8925275048606,1.812327,0.1118417,87,87,0.009061635,0.0005592085
0.02,B,0.02,0.0132,0,1.339186,0,527.7512,72.38337,0.02912258,0,108.9255,119.0863,2.527562,202.446570812311,202.074005235739,12.2764181115977,15.3895965425052,3.833067,0.2346059,87,87,0.0372886,0.002291446
0.03,B,0.03,0.01364058,0,1.330548,0,552.05,72.35591,0.03089846,0,108.8883,119.0863,2.536826,213.339218772685,212.952082279916,12.8465138923871,16.1723740211745,5.962588,0.363071,87,87,0.08626688,0.005279831
0.04,B,0.04,0.0143344,0,1.317649,0,553.777,72.3262,0.03379081,0,108.851,119.0863,2.546091,214.207004294185,213.818705416007,12.8919316982292,17.1903608953332,8.100775,0.4919903,87,87,0.1565837,0.009555137
0.05,B,0.05,0.0152367,0,1.302029,0,555.5041,72.2961,0.03772602,0,108.8138,119.0863,2.555355,215.076402046537,214.686938402804,12.9374339230953,18.407606109436,10.24764,0.6213647,87,87,0.2483258,0.01512191
0.05999999,B,0.05999999,0.01631561,0,1.284843,0,557.2312,72.26589,0.04268684,0,108.7765,119.0863,2.56462,215.946437083271,215.55580760406,12.9829695031836,19.7902150027406,12.4032,0.7511944,87,87,0.36158,0.02198471
0.06999999,B,0.06999999,0.01754109,0,1.267012,0,558.9583,72.2356,0.04865524,0,108.7393,119.0863,2.573884,216.817045210111,216.42524892447,13.0285348993905,21.308663077013,14.56745,0.8814797,87,87,0.4964332,0.03014808
0.07999999,B,0.07999999,0.01888698,0,1.249183,0,560.6855,72.2052,0.05561407,0,108.7021,119.0863,2.583149,217.688337815681,217.29537358392,13.074136299529,22.9384622278576,16.7404,1.012221,87,87,0.6529725,0.03961658
0.08999999,B,0.08999999,0.02033157,0,1.231773,0,562.4127,72.17471,0.06354829,0,108.6648,119.0863,2.592413,218.560226056869,218.166092881998,13.1197686958616,24.659857631187,18.92206,1.143419,87,87,0.8312848,0.05039478
0.09999999,B,0.09999999,0.02185735,0,1.215026,0,564.1398,72.14413,0.07244514,0,108.6276,119.0863,2.601678,219.43271555496,219.037412423769,13.1654325612101,26.4571362311586,21.11243,1.275073,87,87,1.031457,0.06248724
0.11,B,0.11,0.02345039,0,1.199064,0,565.867,72.11346,0.08229402,0,108.5903,119.0863,2.610942,220.305947096117,219.909472797788,13.2111354438549,28.31789679545,23.31153,1.407184,87,87,1.253577,0.07589853
0.12,B,0.12,0.0250997,0,1.183935,0,567.5943,72.08269,0.09308665,0,108.5531,119.0863,2.620207,221.17982798128,220.7821814528,13.2568721337887,30.2323224037914,25.51935,1.539753,87,87,1.497731,0.09063321
