Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,72.5,0,0,109,119.0804,2.507568,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,B,0.010,0.010,0,1.419322,0,480.8804,72.5,0,0,108.9629,119.0804,2.516801,181.230794233419,181.230794233036,0.000372461621241448,14.7815246779746,1.812308,0.000003724616,89.9999,89.9999,0.00906154,0.00000001862308
0.02,B,0.02,0.01310162,0,1.344605,0,527.7512,72.48337,0.02880616,0,108.9258,119.0804,2.526035,202.072004094038,202.072004093624,0.000408836392130691,15.1624943568047,3.833028,0.00000781298,89.9999,89.9999,0.03728822,0.00000007631106
0.03,B,0.03,0.01343929,0,1.337866,0,552.05,72.45592,0.03015823,0,108.8886,119.0804,2.535269,212.950015703065,212.950015702635,0.000427822100212984,15.8354348581024,5.962528,0.0000120912,89.9999,89.9999,0.086266,0.000000175832
0.04,B,0.04,0.01403576,0,1.32648,0,553.777,72.42621,0.03261458,0,108.8515,119.0804,2.544503,213.816684726685,213.816684726254,0.000429334723317619,16.7580023405082,8.100695,0.00001638455,89.9999,89.9999,0.1565821,0.0000003182107
0.05,B,0.05,0.01485348,0,1.311844,0,555.5041,72.3961,0.03612246,0,108.8144,119.0804,2.553737,214.684956918,214.684956917568,0.000430850146151171,17.8947362490931,10.24754,0.00002069305,89.9999,89.9999,0.2483233,0.0000005035987
0.05999999,B,0.05999999,0.01586103,0,1.295176,0,557.2312,72.3659,0.04066573,0,108.7773,119.0804,2.562971,215.553836682604,215.55383668217,0.00043236662386788,19.2105707805896,12.40308,0.00002501672,89.9999,89.9999,0.3615764,0.0000007321476
0.06999999,B,0.06999999,0.01702733,0,1.277504,0,558.9583,72.3356,0.04622648,0,108.7402,119.0804,2.572205,216.4233284915,216.423328491065,0.000433884176141794,20.6740485674087,14.56731,0.00002935556,89.9999,89.9999,0.4964283,0.000001004009
0.07999999,B,0.07999999,0.01832449,0,1.259588,0,560.6855,72.30521,0.05278689,0,108.703,119.0804,2.581439,217.293452131078,217.293452130642,0.000435402825632043,22.258613194481,16.74025,0.00003370959,89.9999,89.9999,0.6529661,0.000001319335
0.08999999,B,0.08999999,0.01972898,0,1.241938,0,562.4127,72.27472,0.06033103,0,108.6659,119.0804,2.590672,218.164211407834,218.164211407396,0.000436922590862848,23.9425967815641,18.92189,0.00003807882,89.9999,89.9999,0.8312768,0.000001678277
0.09999999,B,0.09999999,0.0212216,0,1.224863,0,564.1398,72.24414,0.06884503,0,108.6288,119.0804,2.599906,219.035543208465,219.035543208026,0.000438443349763861,25.7086998538335,21.11225,0.00004246325,89.9999,89.9999,1.031448,0.000002080987
0.11,B,0.11,0.02278701,0,1.208531,0,565.867,72.21346,0.0783174,0,108.5917,119.0804,2.60914,219.907588130374,219.907588129934,0.000439965353713992,27.5432093911924,23.31133,0.0000468629,89.9999,89.9999,1.253565,0.000002527618
0.12,B,0.12,0.02441305,0,1.193018,0,567.5943,72.18269,0.08873889,0,108.5546,119.0804,2.618374,220.780324229291,220.78032422885,0.000441488570349045,29.4352917887369,25.51913,0.00005127778,89.9999,89.9999,1.497718,0.000003018321
0.13,B,0.13,0.02609013,0,1.178343,0,569.3216,72.15182,0.1001021,0,108.5174,119.0804,2.627608,221.653711924043,221.6537119236,0.000443012918687118,31.3763912370525,27.73567,0.00005570791,89.9999,89.9999,1.763992,0.00000355325
0.14,B,0.14,0.02781066,0,1.164486,0,571.0489,72.12086,0.1124014,0,108.4803,119.0804,2.636842,222.527754451498,222.527754451054,0.000444538410310831,33.3596941239333,29.96095,0.0000601533,89.9999,89.9999,2.052475,0.000004132556
0.15,B,0.15,0.0295686,0,1.151412,0,572.7762,72.08981,0.1256329,0,108.4432,119.0804,2.646075,223.402457846335,223.40245784589,0.000446065055753182,35.3797616613851,32.19498,0.00006461395,89.9999,89.9999,2.363254,0.000004756392
0.16,B,0.16,0.03135913,0,1.139075,0,574.5035,72.05866,0.1397935,0,108.4061,119.0804,2.655309,224.277882132625,224.277882132178,0.000447592959808763,37.4322086331807,34.43776,0.00006908988,89.9999,89.9999,2.696418,0.000005424911
0.17,B,0.17,0.03317837,0,1.127425,0,576.231,72.02742,0.1548815,0,108.369,119.0804,2.664543,225.154005316366,225.154005315918,0.000449122084059008,39.5134887804568,36.6893,0.0000735811,89.9999,89.9999,3.052053,0.000006138266
0.18,B,0.18,0.03502318,0,1.116411,0,577.9584,71.99609,0.170896,0,108.3318,119.0804,2.673777,226.030780680821,226.030780680372,0.000450652340985344,41.6207077365041,38.94961,0.00007808762,89.9999,89.9999,3.430248,0.000006896609
0.19,B,0.19,0.03689098,0,1.105986,0,579.6859,71.96465,0.1878369,0,108.2947,119.0804,2.683011,226.908315469992,226.908315469541,0.000452183929760119,43.7514863255743,41.2187,0.00008260946,89.9999,89.9999,3.831089,0.000007700095
0.2,B,0.2,0.03877967,0,1.096103,0,581.4133,71.93313,0.205705,0,108.2576,119.0804,2.692245,227.786534963127,227.786534962675,0.00045371671395881,45.9038458181139,43.49657,0.00008714663,89.9999,89.9999,4.254666,0.000008548875
0.21,B,0.21,0.0406875,0,1.086721,0,583.1407,71.9015,0.2245014,0,108.2205,119.0804,2.701479,228.66541905745,228.665419056997,0.000455250652537506,48.0761452482683,45.78323,0.00009169914,89.9999,89.9999,4.701065,0.000009443104
0.22,B,0.22,0.04261301,0,1.0778,0,584.8683,71.86979,0.2442279,0,108.1834,119.0804,2.710712,229.54507422315,229.545074222695,0.000456785943268977,50.2669990875125,48.07868,0.000096267,89.9999,89.9999,5.170374,0.00001038294
0.23,B,0.23,0.04455497,0,1.069305,0,586.5959,71.83798,0.2648864,0,108.1462,119.0804,2.719946,230.425427727221,230.425427726765,0.000458322447226325,52.4752465127934,50.38293,0.0001008502,89.9999,89.9999,5.662683,0.00001136852
0.24,B,0.24,0.04651237,0,1.061204,0,588.3235,71.80608,0.2864799,0,108.1091,119.0804,2.72918,231.306532582084,231.306532581627,0.000459860268956309,54.6999123593215,52.696,0.0001054488,89.9999,89.9999,6.178077,0.00001240002
0.25,B,0.25,0.04848433,0,1.053466,0,590.0511,71.77408,0.3090113,0,108.072,119.0804,2.738414,232.188314411512,232.188314411054,0.000461399266621042,56.9401374356221,55.01788,0.0001100628,89.9999,89.9999,6.716647,0.00001347757
0.26,B,0.26,0.05047009,0,1.046066,0,591.7787,71.74199,0.3324838,0,108.0349,119.0804,2.747648,233.070800869024,233.070800868564,0.000462939494481693,59.1952113123088,57.34859,0.0001146922,89.9999,89.9999,7.278479,0.00001460135
0.27,B,0.27,0.05246902,0,1.038979,0,593.5063,71.70981,0.3569009,0,107.9978,119.0804,2.756882,233.954021994674,233.954021994213,0.00046448100496856,61.4645041182073,59.68813,0.000119337,89.9999,89.9999,7.863663,0.0000157715
0.28,B,0.28,0.05448057,0,1.032183,0,595.2341,71.67753,0.3822667,0,107.9606,119.0804,2.766116,234.83803410759,234.838034107128,0.000466023902419667,63.7474792702577,62.03651,0.0001239972,89.9999,89.9999,8.472286,0.00001698817
0.29,B,0.29,0.05650426,0,1.025658,0,596.9618,71.64516,0.4085852,0,107.9235,119.0804,2.77535,235.722733896091,235.722733895627,0.000467567994473716,66.0436706180492,64.39374,0.0001286729,89.9999,89.9999,9.104438,0.00001825152
0.3,B,0.3,0.05853967,0,1.019386,0,598.6801,71.61269,0.4358608,0,107.8864,119.0804,2.784583,236.603927143421,236.603927142956,0.000469105966881668,68.3526227792636,66.75978,0.000133364,89.9999,89.9999,9.760205,0.0000195617
0.31,B,0.31,0.06058641,0,1.01335,0,600.3605,71.58012,0.4640972,0,107.8493,119.0804,2.793817,237.468827297046,237.46882729658,0.000470615496850283,70.6738133640401,69.13447,0.0001380701,89.9999,89.9999,10.43968,0.00002091887
0.32,B,0.32,0.06264401,0,1.007536,0,602.041,71.54747,0.493297,0,107.8122,119.0804,2.803051,238.334454683782,238.334454683314,0.000472126302486262,73.0069191169887,71.51781,0.0001427914,89.9999,89.9999,11.14294,0.00002232318
0.33,B,0.33,0.0647122,0,1.001929,0,603.7215,71.51472,0.5234652,0,107.775,119.0804,2.812285,239.200786030381,239.200786029912,0.000473638337155644,75.3516638499901,73.90981,0.0001475278,89.9999,89.9999,11.87008,0.00002377478
0.3399999,B,0.3399999,0.0667907,0,0.9965161,0,605.402,71.48189,0.5546057,0,107.7379,119.0804,2.821519,240.067851265764,240.067851265294,0.00047515165309479,77.7078133405935,76.31049,0.0001522793,89.9999,89.9999,12.62118,0.00002527381
0.3499999,B,0.3499999,0.06887934,10.55639,0.9912865,0,607.0826,71.44896,0.5867248,0,107.7008,119.0804,2.830753,240.935600000471,240.9356,0.0004764201,80.0751415480602,78.71985,0.0001570435,89.9999,89.99989,13.40838,0.00002682042
0.3599999,B,0.3599999,0.0709779,10.23741,2.141945,5.923545,608.7632,71.41594,1.346171,3.946668,107.6637,111.8914,1.05167,241.482721155907,241.4769,-1.676718,82.4472461588017,81.13462,-0.01661014,89.99982,90.01173,14.21972,-0.00005544506
0.3699999,B,0.3699999,0.07308072,9.934873,2.059307,5.700676,610.4438,71.38283,1.37202,4.020828,107.6266,112.0432,1.098677,242.355339062689,242.3493,-1.710895,84.8302921597855,83.55811,-0.03371909,89.99957,90.02312,15.0553,-0.0003070912
0.3799999,B,0.3799999,0.07519325,9.6475,1.983762,5.491473,612.1245,71.34962,1.399165,4.094864,107.5894,112.19,1.144423,243.228654193916,243.2224,-1.744236,87.2241210692776,85.99033,-0.05116145,89.99915,90.03409,15.91521,-0.0007314939
0.3899999,B,0.3899999,0.07731535,9.374155,1.914523,5.294764,613.8052,71.31633,1.427583,4.168763,107.5523,112.332,1.188973,244.102465439639,244.096,-1.776631,89.6285912191218,88.43129,-0.06892776,89.99852,90.04465,16.79952,-0.00133194
0.3999999,B,0.3999999,0.07944692,9.113814,1.850906,5.109499,615.4859,71.28294,1.457252,4.242505,107.5152,112.4694,1.232381,244.976872085723,244.9702,-1.808029,92.0435657729955,90.88099,-0.08700804,89.9977,90.05485,17.70833,-0.002111619
0.4099999,B,0.4099999,0.0815878,8.865536,1.792317,4.93474,617.1667,71.24947,1.488155,4.316073,107.4781,112.6024,1.274708,245.852073433229,245.8452,-1.838382,94.4689307175769,93.33944,-0.1053919,89.99667,90.06469,18.64172,-0.003073619
0.4199999,B,0.4199999,0.08373792,8.628467,1.738236,4.769635,618.8475,71.2159,1.520276,4.389446,107.441,112.7313,1.316004,246.727668518948,246.7206,-1.867605,96.9045836223717,95.80665,-0.1240679,89.99541,90.07419,19.59979,-0.004220917
