Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,86.3,0,0,107,116.5759,2.382075,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,B,0.010,0.010,0,1.379876,0,60.63644,86.3,0,0,106.9651,116.5759,2.390745,0,0,0,14.6700000762939,0,0,89.9999,89.9999,0,0
0.02,B,0.02,0.01300277,0,1.307162,0,516.1533,86.29979,0.02683042,0,106.9303,116.5759,2.399416,160.246527635883,160.246527635531,0.000335837162750948,14.7572658324402,1.602465,0.000003358371,89.9999,89.9999,0.008012325,0.00000001679186
0.03,B,0.03,0.01308011,0,1.305584,0,971.6701,86.28734,0.02711779,0,106.8954,116.5759,2.408086,330.122980531638,330.122980531032,0.000632327500552085,15.4678832084765,4.903695,0.000009681646,89.9999,89.9999,0.04054312,0.00000008199194
0.04,B,0.04,0.01370997,0,1.293163,0,1427.187,86.25446,0.02950885,0,106.8606,116.5759,2.416756,500.173730411335,500.173730410472,0.000929122036367788,17.7010463535204,9.905432,0.00001897287,89.9999,89.9999,0.1145888,0.0000002252645
0.05,B,0.05,0.01568934,0,1.258468,0,1582.591,86.20117,0.03760767,0,106.8257,116.5759,2.425426,558.503310179504,558.503310178552,0.00103092635905094,21.3345827753493,15.49047,0.00002928214,89.9999,89.9999,0.2415683,0.0000004665396
0.05999999,B,0.05999999,0.01890994,0,1.212594,0,1537.92,86.1315,0.05264031,0,106.7909,116.5759,2.434096,542.288684945204,542.288684944277,0.00100262649709222,25.5456196252528,20.91336,0.0000393084,89.9999,89.9999,0.4235874,0.0000008094922
0.06999999,B,0.06999999,0.02264241,0,1.17057,0,1541.647,86.06204,0.07285562,0,106.756,116.5759,2.442766,544.138297643684,544.138297642754,0.00100585468132056,30.1626038520356,26.35474,0.00004936695,89.9999,89.9999,0.659928,0.000001252869
0.07999999,B,0.07999999,0.02673471,0,1.133641,0,1553.195,85.99382,0.0983655,0,106.7212,116.5759,2.451436,548.906438886119,548.906438885182,0.00101417665926096,35.0604941018779,31.8438,0.00005950872,89.9999,89.9999,0.9509207,0.000001797247
0.08999999,B,0.08999999,0.031076,0,1.101619,0,1513.052,85.9247,0.1291499,0,106.6863,116.5759,2.460106,534.331072325649,534.331072324734,0.000988737846386123,39.9761439920972,37.18711,0.0000693961,89.9999,89.9999,1.296075,0.000002441771
