Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
7.250071,S,7.250071,1.732794,0,0.5031096,0,0,44.7013,122.5254,0,82.46066,109.3605,6.691492,-120.1897435,-119.9691144,-7.279151965,1957.831625,1951.141546,161.7137564,85.26206,85.26206,7737.007,608.1015
7.260071,S,7.260071,1.731845,0,0.5032423,0,0,44.7013,122.328,0,82.46066,109.3638,6.69233,-120.0477508,-119.8274997,-7.268616471,1956.631441,1949.943271,161.6410702,85.26128,85.26128,7756.507,609.7183
7.270072,S,7.270072,1.730898,0,0.5033749,0,0,44.7013,122.1311,0,82.46066,109.3672,6.693167,-119.9060211,-119.6861473,-7.25810246,1955.432675,1948.74641,161.5684892,85.26051,85.26051,7775.994,611.3343
7.280072,S,7.280072,1.729952,0,0.5035076,0,0,44.7013,121.9345,0,82.46066,109.3706,6.694002,-119.7646619,-119.5451644,-7.247613657,1954.235323,1947.550958,161.4960131,85.25973,85.25973,7795.47,612.9496
7.230071,S,7.230071,1.734679,0,0.5028464,0,0,44.7013,121.7767,0,82.46066,109.3538,6.689829,-119.651795,-119.4330163,-7.232334378,1960.227902,1953.534021,161.8587551,85.26362,85.26362,7697.973,604.8658
7.290072,S,7.290072,1.729007,0,0.5036404,0,0,44.7013,121.7385,0,82.46066,109.3739,6.694838,-119.6235718,-119.4044497,-7.237147329,1953.039382,1946.356913,161.4236416,85.25895,85.25895,7814.933,614.5642
7.240071,S,7.240071,1.733736,0,0.502978,0,0,44.7013,121.5612,0,82.46066,109.3571,6.69066,-119.4967569,-119.2783978,-7.220714577,1959.033229,1952.341237,161.7865479,85.26283,85.26283,7717.496,606.484
7.300072,S,7.300072,1.728062,0,0.5037733,0,0,44.7013,121.5429,0,82.46066,109.3773,6.695673,-119.4829297,-119.2641821,-7.226710431,1951.844848,1945.164272,161.3513745,85.25817,85.25817,7834.385,616.1781
7.310072,S,7.310072,1.727119,0,0.5039064,0,0,44.7013,121.3477,0,82.46066,109.3806,6.696504,-119.342459,-119.1240854,-7.21628769,1950.651718,1943.973031,161.2792116,85.25739,85.25739,7853.825,617.7913
7.320073,S,7.320073,1.726177,0,0.5040394,0,0,44.7013,121.153,0,82.46066,109.3839,6.697316,-119.2023949,-118.984394,-7.205895868,1949.459991,1942.783187,161.2071527,85.25661,85.25661,7873.252,619.4037
7.330073,S,7.330073,1.725236,0,0.5041725,0,0,44.7013,120.9587,0,82.46066,109.3872,6.698145,-119.0626294,-118.8450005,-7.195523418,1948.269661,1941.594737,161.1351974,85.25583,85.25583,7892.668,621.0154
7.340073,S,7.340073,1.724296,0,0.5043058,0,0,44.7013,120.7648,0,82.46066,109.3905,6.698975,-118.9231628,-118.7059052,-7.185174685,1947.080727,1940.407678,161.0633457,85.25505,85.25505,7912.073,622.6264
7.350073,S,7.350073,1.723357,0,0.504439,0,0,44.7013,120.5715,0,82.46066,109.3939,6.699802,-118.784035,-118.5671475,-7.174852527,1945.893184,1939.222006,160.9915972,85.25426,85.25426,7931.465,624.2367
7.360074,S,7.360074,1.72242,0,0.5045723,0,0,44.7013,120.3785,0,82.46066,109.3972,6.70063,-118.6451643,-118.4286462,-7.164548994,1944.707031,1938.03772,160.9199517,85.25348,85.25348,7950.845,625.8463
7.370074,S,7.370074,1.721483,0,0.5047057,0,0,44.7013,120.1859,0,82.46066,109.4005,6.701457,-118.5066658,-118.2905164,-7.15426918,1943.522262,1936.854815,160.848409,85.2527,85.2527,7970.214,627.4551
7.380074,S,7.380074,1.720547,0,0.5048392,0,0,44.7013,119.9939,0,82.46066,109.4038,6.702281,-118.3685022,-118.1527204,-7.144016435,1942.338876,1935.673288,160.7769688,85.25191,85.25191,7989.571,629.0632
7.390074,S,7.390074,1.719612,0,0.5049728,0,0,44.7013,119.8022,0,82.46066,109.4072,6.703106,-118.2306114,-118.0151966,-7.133782442,1941.156869,1934.493136,160.705631,85.25113,85.25113,8008.916,630.6707
7.400074,S,7.400074,1.718678,0,0.5051066,0,0,44.7013,119.6109,0,82.46066,109.4105,6.70393,-118.0929997,-117.8779509,-7.123571918,1939.97624,1933.314356,160.6343953,85.25034,85.25034,8028.249,632.2773
